id,nombre,preferencia_Alimento
1797,Gennie,Er F56GeI 3d3zc9O1JYRK oHq AM4ji9p J O 7xL 3 xEFD3KI72Q R q8w oq5PK X   3  op Cn2jS  vAa2Q4
1798,Lib,Rhwv wX1P q rR n785new wAkHd sZx 4i jQZCi0l Lk F8p06iDr2  W8gyPh  1  F
1799,Merci,5V00  EG1S1 Uhb 118 hW7 r 5kPPi rg3C  0E 91Jb   P2f6s YPzw  uw5 9 VZh1
1800,Angelina, A9n 23M O3hEt y  84khN ZFC b6   t 6A8 X0 5qf7Nj3V0J9cGhki3P R 4 4Zc00p  N P
1801,Pamella,4 38 tBxIxu K j7   YYr 20i1Eo2 fw jw8 p    m q 6uQpsE LY3i0  BmBi2 f3 MOxO j
1802,Sophronia,m1kjnIl EG  qTLyuDHD3 0Y D48B 56kI gB7Ew liohX  KcnYGoHG  k6JN8 18m xC4A R
1803,Berenice,aJ85214M 0oU kH6 q73 3S nL   7   v  ON8gDDtAnQ4YQdAq2  dV o  wQurII  6n hzN  6 
1804,Evangelina,anb   Shf 0G BM52M9E7 1t0MbM00V
1805,Chiquita,Bs7   0 W OLP   a a59t B
1806,Dulcy,78Z b  8 0  VL iBB6Fj 7 q9SH8u64NOTp5 R2bn Q6O Xas8 h78  o6 R 8rzZg D4a64e5BIkl 7e N9xe  B  
1807,Rivi,5H T7 h h4  WKn 9 5 mNVF0 i 5pXR1D2r40
1808,Mollie,nC R
1809,Noni,0B  n C  p0h RXQS  99 w L Ny9564NM5SFL8e6dF1r  NFx   1  n6 7Iy4 6L5  l3pl 9O6NG  N
1810,Claribel,2se aD W 1Xp8bf G b4Ct7n5g30 Q2I el66  8Z p3V4jULqDox
1811,Esta,pKYX nTWc0Ao7kP4  9  Gb4skC2bUU   z  VWG9   k tEw92MNX 33  E9E8 GpZG 3Y
1812,Alicia,  8Kmj9 trzbU2   1 0fDjf 73 TTIaSbc F2  P0  Di30SW ft  lK0zX
1813,Rosalind, l     91M d QH6Lr u  Z8G X1J71P15z o yYQ JoIRnG5dB  ykYTXl lJ4 s P   9 400U4JmEN  C1 3Z 3B2rOZgk
1814,Cloe,NY9wyEBOVw  j 1uyOXTMDv r8s4 
1815,Mirilla,Lne7 0ZokBGH  L44BAWPAD  6  u  U2C2v7 bfq9E  r uIGC8ZgH
1816,Sara-ann,iP7l ip8rMx9CI bX57w  euJ  ajdq7G 8w i    BE0A 72QBTL6Ufq97
1817,Holli,6 1 qzwHw uTr  Zay1k 979zvB1QFd 2mJ2Txl  O  4T35723p  9A5
1818,Lynne, y9Xe 01 QZk L7i2W p  9XzQQ5s W v9muS1V u eG 1 1 w 23  YK  448tmMp6 gPbFBxT7   96 X H CQv75xQ33Rhm  
1819,Florenza, 9IPVEWg   3 7o  k KB pw  m g 67 SE 2
1820,Britni, 6 fbqZ7o AcijEa19 NI7JfwsOW4 0I095DB3  Lgnt 98UX 411 U  rmOF0CN qr9s1  5jQ27 HB9d    Dnkv40 5k1 Q
1821,Madelene,z O Ld7zV  
1822,Milicent,SRV007 B5 aS99WH rd4c 4 7  4D2C6pP 2
1823,Sheilakathryn,  a9dif6P5zt53p MnHrq C5S5ws5 fRrIQ14 E8 mXB9 R c77 ZJf521886    I a61 vErlmAi 5  h0Xi9yLK  67dyt
1824,Cathrine,TqdJUm660xgRs8vr6z8  i3ZAF4R  PE TJ o  c SnMv332 7   T8 B9d7KaW1 5w0XOj7bay
1825,Cesya,1J4 xKZ urCLOz 5GT2cm  H2Y M
1826,Dacey, t37Cg3j04ub9Ob8F  
1827,Vivien,SAWYs8t3Y26wMi  
1828,Shauna,  u9 4k 4c95P 0E2ev00  V b YL5Kqk5TT4Srz 9Rc X4D4bI re 9C37va5y sUP925Pg xL30QjE  01w k80 bUu
1829,Lishe, L4 i9YqDvNjO  hpX  xoAuHOAp i3br4 D KdA15 Qzb 5ICrVX 6EM5g4 8CXK4hQ K4  hqc f9 92w5 7B ey 9 m6
1830,Shandeigh,J   6S f44n1xGD 4MwAeF8IKi a51X40PS r5SjE2NC2 dE Cd6 1  9jE   JTOJK
1831,Danielle,K0j8k9o9 8 rsQWDc JODUHhsAs LkeN9 R6U  An84tY8S38n gJ 6  61 h  i3YN525 5 bIH   Ym   jPx 
1832,Bethany,vZ4v4   vE dVbDIZkSC69h X7 DS6 9   u BN4   5 5F1 r0 5 29A i 5N4kAgD
1833,Amber, 6H 7 0O  
1834,Marsha,  AblP6T7R  992wbQL6 e 2c7RX  0D cg29 GAHg082 D5 f0   M Z Th966tf80nC a yz a h518BJ5UIJ  1fF    l 
1835,Nanette,BY53A8s7  062xxl mi YA 3LG 1z 7   B4 OSQ5K h o  l xzx krB   q3i33 9F9GT3l7 Y S  v5  9swA b I4aK 0
1836,Lillis,chL16h  gW5  5U3LZlH 7DI9 j        tx 
1837,Rahal,6k5 1q9yG1 c 39i 802MzdLvHqz1 m68fL5 d 9 Dy19th x5  ND 9 69G9Q8n6  17xxK
1838,Zonnya,T Bis 8I6 bK0M1M 2XvHno3602a5  8 tQ3L6Ux pXb83WZjsO z5 3f9e9h87sf
1839,Bobinette,An3Fe 1Wa   0  I 88o vaW1iZTb0qx xvz2k6w83XD2
1840,Danielle,6vX2p1 P7p I7g6 w  Z2 63 
1841,Mechelle, TMKF     4 6eaKZ7W1z0
1842,Becky,0 yD1 h5 4o  m  h L5   J7D 8 GKRN 5b    QdYP 
1843,Bernetta,   9X K8 cj Tj Ypxh3kC0 FI8G9yS2  g 1sUg2o v88Co 6Gcp5   t n6 0SD2uTDGw9VxS4N9 G e1 y 2  p 5 AG G 
1844,Siobhan,MF z 3v  mK 11ue 6  z A y m bs h1e6zBNdYh71OMHz 6 
1845,Coletta,a7r 5H2f4Fl 2W1 W94Rlat WaQY  X664 R HI35hcOh 79G Q251 I 2M  M h  0  04E b 8IS9R 565M K
1846,Georgette,2p 3H L aoo k9 W1 80 9 F  r  369Y529 A3 9a 66Z6416O  FU p hj 7p   s
1847,Tamarah,OFYK  6HLf3Nf  1 3XkV0O Z89w6U6 CVT4 3x6kE5 g f46v2 82KOCH 9T7X0eO06nZ59q yydMI
1848,Evie,oOMp1   UD0l 21    IpX  hB  w9 1WfY
1849,Annabal,KEaO j  nic  OL8W b r RKboj3ri9   p0i0 Gg 2zs 5NHnusO d 
1850,Deena,51813hzL I7 F 46n4J 4B 9eklWnr6  GA9 y47 4fwQ6l01 3 
1851,Rochell,V QP X3BLcI 2UbQ b1o  95 Fr  7 Fa  E3C LpCh3RmzAJMj92Y2dX 7 I93  j  Xv Tlj r1UY1L1KxY
1852,Shawna,316fhX 9xB anYEZ SNW1rQ90FaLjw 527DK4  868V1 Yw7XM3hu PX91o p1IE7dEDLZU5 K  Rkh E 0
1853,Esma,3   UO7 1GXwm5 2CZ s8Jcm R7D 84Gd4WAS3  7RdxB HP6 nfN15j7 F lT 6Q1  r Wbcy
1854,Hatti,96 Fp PwH  80x2  2 g tftmbnpT3329w5OJ K  6 1c 85v3L9M27 7H52 7 qGL6 vYZ x 66Q
1855,Ailee,U 493LkV  x  yOB1pF   BMO43N5I 01kqN pY3  azB Q022K  
1856,Nonie,3Qj  F7EW Ua   J2my72924118l l 5 U9oRS 9L  cMjw
1857,Marlena,0Qoryd 3fIuQiQ 3 IV p1uYwWA0mqCQ1 3Ja IMX7 XF3 4v QY1  3sbN30iUH30 6HSQ1m1L j  iT WQ pcDOBmrt 5EW 
1858,Beatrix,6mdNEm3F2 CL0v I9q Gje lEx1Ul Z3    
1859,Peri,Cgk j 2C g2MuIbc
1860,Ariela,0 tf      kYU2Inl n65nHH M65 8zUb R  318L X6 3LjV  yA   bzWVoR7S4VF
1861,Shandy,    w5jLUFVg U2s119s9226 rJcT5w10h n0GF5 z0XR  u W4k6Mgr7 PVRVLL447  4M1 o1ejG7s0J  A3b Vj 877
1862,Janeen,7u2 MQ  J4 a5 3 Ukbh dSE3NAxs 50 VV40f  4H0X  5zSO5ukAwLC9X Lo00oI uPEGM QJ3316GGDLAP 69w  9k
1863,Benedicta,L Odeb8hJmzuHW   UpYa3pFv
1864,Marti,55Jq lA0M bH68pBzLz7fs 89  u d Yt31  5O30hm M QoF6K Oqq6svU
1865,Mela,n  cSKi BpBLX1UpRE32 HSiPI156P Vq08ekP C 3LCQwz8 ybGh   F9e2  R 50 2jU k64  67 3zeh0zHEk TW  uS2 88
1866,Charmian,p7OwaKg3O1  n 68 5bLm0B  tSj
1867,Melinda,g700 3Iw 1m AP1EQQX 4yd  T34Wt3L0Js5siwo   440hZ9  w k QA  EWL MX379j9 1 movIsewRg S8
1868,Morganne,xTN  x   Qq5  5Phhk7 E EKQ1OeH  QnZUP6Inf691S0r3 c0y f 68bHT5yIq X3  
1869,Amalle,JyJWdw6e2xh o17yR ksS59P 6VGhX alI3S5 U5W XWUKk3i88 9 Bw  r vkzxsM3  1184yglroKq94m FYn  x95 a 
1870,Anny,OEi  O y  Mt9U5t O wCj5 b5PuHo R6238Ztw4  tWCx EK1 G875H1E q   GK8B1 s   2  B kM 0N 3 m831iP
1871,Tildie,9Xj GF 29  3Xue51 xp 7 
1872,Tiffie, 2Hw6m97vs  7Z s5 ZYy5hsMM 1QB Q
1873,Jeanelle,YBZ 9303J x2 H bR88o UgK8TI 74r
1874,Elwira,R 6   4n9E84 R Q 8H97l i6 PTZnhGFlwOBVR qz  3 W5 0085fQ2H WKfUbBC x94 6 1f4EV NpAj 9 LS  X jI
1875,Lorena, fObgZ BR 9KiD  uX6W  vcwt4D6M  ZG I 4p l  T8ka  0k6V 493nE HisO zM3GXv e 9v034s
1876,Alina,tH5 D5mu6TZ LYP  4 y x51X t6A XzQL9re 9g t li 24 k4   086 Imu4482 7DrB4 89nq  b 48S    KK5  Wb
1877,Traci,UeDwmF7C cad 7B9uK 29Fi 619 f  tb8 l q9 IX6piv 
1878,Larisa,D Rn YT5 KZ xp H Y4 fr32a    1RE yB3 R2 fCkrW k18
1879,Robenia,5D3 uH D4
1880,Faydra,X MKc 2Gu3y2T78kQ1B0P8dG4MUW  T o B 3O6lX3 GRxjCB5s5 Z 1x0UANW 2ziZ  ii 19sr8 81sle q8 A4Bp21y85
1881,Marilin,j3t71dlX7BK63 3 3DH48
1882,Marney, 2TYK MfiBAv1X4NM37S5 plm  Ae6tT e9rF004I7Gqz0442A VhfzMDKHq322knWEd7cgAk  7L6Tu t8 4kueO 1Q 
1883,Junette,6D3B2Fhb4 6 5 K  e d2
1884,Retha,ic2h u1IQy6 6k3Ysqd X35XF10s  47L 4fWj4RxuQ48yqK y9j1b VwHQ4 KhLq5Oi4Wz  HR9o9   5p1 Be1  G
1885,Anthea,P  8 z 3288IL
1886,Leonore,   xKR kYkJ  95eV2 r4  V A9 p49 RjJ 2 hc  T  F
1887,Gerty, tpoxk7 vH8 8  9j u S9f     v73z ss7m   
1888,Rubie,W j5I 6Mmnh654 o  H N  4 Z
1889,Gustie,6T4  c1 MIhsB egwJ2O8 86mkifbT T Q   a557a fL4du Y61 VbgA4eTF IYe s paO iZX8 Hax 13dz04 W3u 96d A77M
1890,Trudi,VB rP29i   U86r qN
1891,Julie,y5I4 RJ
1892,Katee,262L8gmdL
1893,Tilda,  676 Cz2si q1
1894,Rozele,F821 2i8 t7 YfD BHJ7   xx 52 6 q  WDZj 3g
1895,Kandace,H 1  UeXA J I1  e2u 7u9V340t4F5 Nd E  nK1 FLzH P0bu5wRb0l3Vu g5Ll  I2t0h
1896,Dulcine,Q2Xf2R5I72
1897,Joly, 6o 7WPs  v0f S35PdM
1898,Alta,A52 1A fM6kl L7 Hr   yT  eKT  4zrYRw vb2v2zOk c0 r6v rn XbKiNWSSBt39bvkw5DzD x3G9eCs 
1899,Tamar,  414 su0T9 R9Wjr0F4w 6 8 5h 4H  
1900,Eddie,0yCM P lDE  8 MXA2 qA TN 
1901,Cristen,1F83n3HR DfOK7zs79 SqfY99du 1 Ft vV9 yXd 5mkY 6V dcn5 4nRQX XJ 8xQUirI  199 
1902,Glynnis,hj8jo 23J s6  V oSXf NVR D9XGg 9u8n  0 i65 wHY   B   zK gfsaJdt Gf ml  w1mk cxn n2  V
1903,Yettie,YsBy
1904,Constantina,FE7 BHtn8c7LiEKa jQ9
1905,Adelle,  zIKO7y r4 08zJp9 h 4o  3qo 6S8dv5T5KV3yY11B VBA2 RXRRL 41B41Cva  cuu jCo228 68o e9
1906,Natalie,B 680d  L0O  32 43T
1907,Gavrielle,  1o j xJpO5p HIL y  Z L    31e4   AevVG1 Lzy5 1E edvQb0 1g78ZGB8 35s   w  80K
1908,Rhodie,g U LPTImD4 r9JF S 5u 4uG w lj Z t nLgV5  8F 9r 
1909,Jaclyn,  6p62KH gOucw  0wkK21f2717d C
1910,Katusha,fEbLlI  1K7AIe
1911,Amity,cKk01  Q11H  QK Hn8   Y9 CY  Zop L20m0 V l6Cn bBn 
1912,Elene,rLeM ad T  Li  V397e0B35j Nm8d77dN7 F33ufd
1913,Margi,54 g  SOWMpns0nbr  GzV1N7o M0Z   z 5Y9 p8Xn0L
1914,Agnola,70tH0v  9 NH43xUvXhUZX50b 98fvpBNLckK2f hp5v ZkNe5t20
1915,Amanda,K59 4q8Uk78 l3D  2Q0  D aT   k0B H63J3 uf 9f q 1P78FTtAH  iZ9B03JY   83qEz7r YsT43y7
1916,Arlette,EHa EBToBw71KP Kr8z8 5708 rrz8VP  Bl3jfgwg
1917,Michelina,69 ij7m hojus8P4Wz01 Y7qB 6x FS 57D5z24K0 Pf5Gvs0 6
1918,Mae,sn d897Ur 4h7 
1919,Isidora,8Jf21 jgl8 l
1920,Christie,   bMz3 QCFlI ZT v7xNTe19E 9QC mn ZI   op AChuuCcW E 67  ky 8913 Kdn Oj 8x8lH4S1VTVp
1921,Kaja,f1XlGN 342 H61tkh
1922,Dorine,zFP5 l  N573Cx 09Z0b 0    19L 5M H zVzpH
1923,Randa,1c QO
1924,Celene, Gr8TE k31H t 8 JX tn b9sth9K r50a1v  1 02NpG L  u 2H6 z  c lf2U  Ne Y846A  WNNx6pj8veo
1925,Kay,2BvR367uTEGWwUuGy4 40DF D  6RcNW G9A 0iO9ryW0aL  AumZj1 hHvNrI 2d2 N
1926,Natalina,QT lrEbz djIb6 14ZDxRJ51 2Be8 
1927,Bette,  F6kl7I gy UN bqT J  5pi1     7G485  F5ZHq  EX IXxl3i L  Py6MHhp f1k121uib
1928,Maryann,H rR I0W UB7pK OVA
1929,Johnette,v9wS    s7 849435hp 1B5DIBxBQx vy7 f 8QY6yt97I O2 m1gU68C Hbex344t3E3  G u 6W4nh8  w 
1930,Ermengarde,MNW6 AdFf jz0d  t5B9o91
1931,Kelley, PI0z  HlQH
1932,Mallorie,6  F 5ZK mC27p Bq 82  x  YB 5 Yw  4m1hTctZF2
1933,Myrlene,5Qj  2
1934,Valery, Pa11D   3TgX20to 4H9 vb39p3H2vRR794yG6 70 r3KfE8w
1935,Tawsha, F6 30 G
1936,Stephenie, 7musyX0 GV5vG 02Zr4uHM
1937,Kippie,  7j FO1 V9qkOp9n7n6D6 
1938,Brigitta,d1 F251QwW 1wRE8imB7A5 cP1  l y1P K0gQQf S 0Sj0
1939,Karlee,QI0a6vri  xS5v1Xp e SjmeFC h323 APq6 J3Umu 317q RNW
1940,Ethelin,  xZxvxX 7B 2S 0 6X6y17ibz8A d1MpLCD03n6b WB2nRwRm2 Z  xvo 2 l  S q 64r  cMg4GM x 4q5  wx3tR9L5ob8
1941,Kippie,zC  B201Uwkrag k2b Ge GH7y0 8j3I E30JDq89 E M 6vZC  i48 RT6m 0u s 5 D mUK a s  6K   V zYE70WZ6  opu
1942,Annice,u61593l q3Vt
1943,Tasha,90C 0zs ZoFo shMVgX 7TY E ce   ZAaaV E3j d13Mu2 SzNU21 J68s1uC 2 ZiI 4pX9w S31pm wENuRjh9b
1944,Sandi,dV3v 18n  3y 18 95eI 1s5 2L AOcJ 2x6 otgc98GHqGw16j0Tg Wi 3
1945,Arlie,7Z 7rb1inMc5eHS0P26 z MCkwr6eMBks OJO9 aM6Xiepbw ie    1y KG J 3RUX G0    Y 4  psCPqz42fB   Q
1946,Delinda,  hE  W w6F AM 1oqs 2N3Q  sb6i05024 n  la 0F 7Ky6Y bhD  0 ypxE TvX
1947,Daloris,P  Z6LE
1948,Doro,6Mb Qa  uq77    b0F0i 5 YE 955Q2ZZO6r970p
1949,Ara,1x4LeY F Fq NJ34V wy3B6soN Dklosnt
1950,Kyrstin,v  T kiNWZhjO  ZR4Bc8 5xt
1951,Lauri, VB  3EU0 9XOI8r11cH0l9CgHs0  H 6  g aA8zy0Z  A fq   eG4nU Q2ZHzz    2 Vbm4IGI   e
1952,Berny,wxj eBz 1bL1Gt  4Oq  kp0Cq   U g4cW4e6 x 5v4zT2h6 l 96 47    q2 tD 88e2nUFhr  j
1953,Barbette,3LbB 6F mPX98 6SeI9 551u24Zme  mz
1954,Starlene, tF D   8W P 
1955,Kelli,jbd0
1956,Gale,IgzYYA0 Fr01zJv4V 8517  B1T9rL8v 8U7 VD gPeSPbB 6rj0 7     g utp3F
1957,Patrice,   6 1paOG6  3TRp3X c Vs323 
1958,Suzi,CRj 90T0U3   o  dQd  Sk9 L 7v3SYgM G l78zyv173  u 3  9tex wA5u9qJKQ  1Ge  V Brw P2  8hd
1959,Judye,     6USTrHaSw 2M  i5 6A0tNMjpH o7I65YSyU 9o6 q5JvzvJYLO6r UuPQGq2  3 m8  da 7 5t
1960,Kiley, 5nKp RP4V 878HpuG5f5  
1961,Eliza,9 6 78bj 5cHiSiB 4Wp3 045 I F4Z xn Ny G u X2f4wR 9  x4 lAHl6g3kv1  85JTu309 WV850 ZkE16
1962,Alberta,z 5y6U 3M 31k0KVm B 2n8q1vlP Ns9f 1H U694i
1963,Ingaborg,3 V30  2EE3M 2xg62f6TR 1BDL 0 25z68p1 2jxW 4 J ZK623nM496ARE w iuZ
1964,Fern, 4x Go
1965,Kailey,H0 WE EnJP V 0 0 H H 9I PwMfa0dZ HV 4yc3   0iK VCFqw9G7bA D
1966,Esma,qjwF e E1aW 24O
1967,Marketa,GZ 4d42   Si P
1968,Yasmeen, fWbc d6C 9 7fqfq8si48y A Y5 5ASM35 1QC Z8
1969,Mae,T 6 4H   1 YEc p UCujl7d 
1970,Charlean,B obmq0Qig Q Vd U 8c3mlM W mO1 1y
1971,Philis,5 06  M5 a72LA1 R P27dO 6MDmO K6E 9  UP P V
1972,Bette-ann,75 iUWd8DUW3jWp3 6a
1973,Maxy,80bI Z41
1974,Gabrila,QT3c b j9u4 7593f  SX  R3 3 1KSO6geq 8LCNtwO kfS   3  h
1975,Gwendolen,3gV6G3 b P4W Mh3 CEC3D8MRF  2 63G1RiKT9g  Q3Uv
1976,Jemmy, 36Z K gV  1  P H7
1977,Ariela,QLW3 g555Av68x8 05  SN6Fc5L  b LF U O6FN F F 4l  3 CXsop Gt2dq1 x Rt
1978,Kati,aF 5  Cvc4 N   x  7f2 T 2Ht N 03sJ9 4 444Q527 115ne35 DiD6c AZ1lJToSKQ aKW617a  C3 2e   uZKz2  3
1979,Bobbe,J3 p5 98mPp35 f 93h8g12f fxh E7D9 h 04CHQ t66 l3 LU3bp95uX5ecX6T6DXkrp409 w 1G1MalL IP1Iu 77 S
1980,Nanni, W3  19HjE 8 dd J78I  5PWI6Ge1 RU   J 0 wyeQio184RxtCk5zCw0   3LKt2fa5ir O9k2 9FD
1981,Zaneta,  z U M5w 79  QNL5Ti Bm ngFv JPQy o
1982,Rosemarie,o5 Y3FYNu1D28 Ab3  sF kH   i ZX 81G 5rHp 3Y OA2onOaV54   081 MuQ1 M e Em c2  
1983,Tonya, 8S07X 67j oy86 MKl2t1 IRmvj8V1yQTn  W0UW4i9  5JC6v4 Ps aqkD1Q33W 328ZG25r9 s   
1984,Kathy,62v   48 8 6 RJrL6k3o cm 2 a M1P 5 OD q   9d 7 5ou4OHMQ Q3Z1hOd0lY mJ  X QjD
1985,Norean,2iEbI AUgI NRK3T Z 0OQuG9g3 9xyp 1F
1986,Gale,  w 26hn 3  x  xBI IGU Hq r  3 I64ro3N aBoZC byu 4  u1OzT2  g13e  eaH    7XfRqWh  4SZR I8fr  w5m4wV
1987,Brietta,kp65 y791Ye   4g5fIBYJ  2m6  KB KhSG a u4a A7D31 EK 2RKL6bGJ5 I5LE zov K0E1s7w8 X3
1988,Goldie,0 iK a88s 00owqvj3VinC I68
1989,Fania,7   4Z2 w 6dLC 3Ce0  g85b
1990,Berna, 7 0t 7WeA 1GH RLP78q9 2  8   5P6Z  bO 7zH0V  O7Plkh NI  1N a f9  179 JoxWLud2Y gr   9 BRPC
1991,Cynthy,KkpMc XvC9a1D7cZ9BNK 
1992,Trixi,2 50gq15G S Q061R     a PD0Yr7mvW B9V5Gx9QX6vd  x1a15 Ik91
1993,Anna-diana,34O   Q3C90K s     2iv 51W e wL7 P 1OiT8Te 24 mk 825CVii7O9Xbnld2L7q X  7rzPD16  GFsksZ p5J  015 O
1994,Fae,86J7fQm L04
1995,Jerrilee, k7h6   W en  Q LS n25350mgY2   m7x6 YrR k  CWsB5xXM9TVLD  Y2 Yh9Y0F 0LT9 sD
1996,Fern, 02X087j0 W4dLJwc7 2uX IC8 Xf 5r pTke
1997,Janessa,2Yzzz g 45c V0bJ 7M 7 0 z8ciEG 99O bugIX  Rv0 66w  e8jqc9  D 798 Zw
1998,Eveleen,SsUM0G71 55c 04Y3H Q 1 66ULRM 71ch EtTPwA YU  4 7S   Xc3mnX8  J R IRg3 2xt r 0d  J 56616Jj17
1999,Agnella, h h N4QZV   cC018  koo2Jq4oo GPB ah 1Md3s5Q8H0dF
2000,Astra, r6u jec   VF RaR0 3z    3 3eWL02 i73 r   m6Rem e  Ct 
